,name,party,state,bill,result
484,Sessions,R,AL,5,1.0
485,Shaheen,D,NH,5,0.0
486,Shelby,R,AL,5,1.0
487,Stabenow,D,MI,5,0.0
488,Sullivan,R,AK,5,1.0
489,Tester,D,MT,5,0.0
490,Thune,R,SD,5,1.0
491,Tillis,R,NC,5,1.0
492,Toomey,R,PA,5,1.0
493,Udall,D,NM,5,0.0
494,Vitter,R,LA,5,1.0
495,Warner,D,VA,5,0.0
496,Warren,D,MA,5,0.0
497,Whitehouse,D,RI,5,0.0
498,Wicker,R,MS,5,1.0
499,Wyden,D,OR,5,0.0
500,Alexander,R,TN,6,0.0
501,Ayotte,R,NH,6,0.0
502,Baldwin,D,WI,6,1.0
503,Barrasso,R,WY,6,0.0
504,Bennet,D,CO,6,1.0
505,Blumenthal,D,CT,6,1.0
506,Blunt,R,MO,6,0.0
507,Booker,D,NJ,6,1.0
508,Boozman,R,AR,6,0.0
509,Boxer,D,CA,6,1.0
510,Brown,D,OH,6,1.0
511,Burr,R,NC,6,0.0
512,Cantwell,D,WA,6,1.0
513,Capito,R,WV,6,0.0
514,Cardin,D,MD,6,1.0
515,Carper,D,DE,6,1.0
516,Casey,D,PA,6,1.0
517,Cassidy,R,LA,6,0.0
518,Coats,R,IN,6,0.0
519,Cochran,R,MS,6,0.0
520,Collins,R,ME,6,0.0
521,Coons,D,DE,6,1.0
522,Corker,R,TN,6,0.0
523,Cornyn,R,TX,6,0.0
524,Cotton,R,AR,6,0.0
525,Crapo,R,ID,6,0.0
526,Cruz,R,TX,6,0.0
527,Daines,R,MT,6,0.0
528,Donnelly,D,IN,6,0.0
529,Durbin,D,IL,6,1.0
530,Enzi,R,WY,6,0.0
531,Ernst,R,IA,6,0.0
532,Feinstein,D,CA,6,1.0
533,Fischer,R,NE,6,0.0
534,Flake,R,AZ,6,0.0
535,Franken,D,MN,6,1.0
536,Gardner,R,CO,6,0.0
537,Gillibrand,D,NY,6,1.0
538,Graham,R,SC,6,0.0
539,Grassley,R,IA,6,0.0
540,Hatch,R,UT,6,0.0
541,Heinrich,D,NM,6,1.0
542,Heitkamp,D,ND,6,0.0
543,Heller,R,NV,6,0.0
544,Hirono,D,HI,6,1.0
545,Hoeven,R,ND,6,0.0
546,Inhofe,R,OK,6,0.0
547,Isakson,R,GA,6,0.0
548,Johnson,R,WI,6,0.0
549,Kaine,D,VA,6,1.0
550,King,I,ME,6,1.0
551,Kirk,R,IL,6,1.0
552,Klobuchar,D,MN,6,1.0
553,Lankford,R,OK,6,0.0
554,Leahy,D,VT,6,1.0
555,Lee,R,UT,6,0.0
556,Manchin,D,WV,6,0.0
557,Markey,D,MA,6,1.0
558,McCain,R,AZ,6,0.0
559,McCaskill,D,MO,6,0.0
560,McConnell,R,KY,6,0.0
561,Menendez,D,NJ,6,1.0
562,Merkley,D,OR,6,1.0
563,Mikulski,D,MD,6,1.0
564,Moran,R,KS,6,0.0
565,Murkowski,R,AK,6,0.0
566,Murphy,D,CT,6,1.0
